iter	F1	Logloss
0	0.6355971354	0.6899727071
1	0.6434377285	0.6875480776
2	0.6352434293	0.6848517832
3	0.6377312828	0.6821070691
4	0.6505556246	0.6794717652
5	0.6508291643	0.6783196874
6	0.6557650814	0.6756727816
7	0.6548362171	0.6733464099
8	0.6569588085	0.6711743049
9	0.6572711603	0.6688963067
10	0.6618323572	0.6665303011
11	0.6623411329	0.6648096096
12	0.6625377145	0.6628914939
13	0.663645879	0.6608214214
14	0.6678955506	0.6589064845
15	0.6653624036	0.6567535728
16	0.6667447622	0.6549128679
17	0.667494086	0.6532691856
18	0.6687892766	0.6514359914
19	0.670081044	0.6499799061
20	0.6708995961	0.6482314655
21	0.6737622376	0.6467067341
22	0.6700934043	0.6452722614
23	0.6703823669	0.6439211356
24	0.6706373439	0.6429605458
25	0.6735618684	0.6415998476
26	0.6722404495	0.6401974588
27	0.6735356941	0.6391215224
28	0.6738610676	0.6379698282
29	0.6756274482	0.6371830138
30	0.6772374244	0.6360580708
31	0.6749716211	0.6349917658
32	0.6757798468	0.6339288885
33	0.6768891507	0.633134823
34	0.6755881618	0.6321060839
35	0.6752480126	0.6312365445
36	0.6763934421	0.6300648623
37	0.6754284785	0.6293371129
38	0.677033761	0.6284810797
39	0.6783326333	0.6275119267
40	0.6783217022	0.6267224651
41	0.6786398749	0.6257448311
42	0.6796049272	0.6248851621
43	0.6766754879	0.6240551583
44	0.6758636792	0.6232567019
45	0.679123196	0.6223930836
46	0.6796049272	0.6216237357
47	0.6784648977	0.6205921546
48	0.6768420975	0.6198431536
49	0.6763530691	0.6192441732
50	0.6783033257	0.618605509
51	0.6791091311	0.617588312
52	0.6813874753	0.6167405716
53	0.6820383492	0.616186054
54	0.6815498123	0.6156623995
55	0.6818750724	0.6153737908
56	0.6823651397	0.6147166068
57	0.686430753	0.6139542038
58	0.6869225701	0.6132846583
59	0.6862669705	0.6126791729
60	0.6866052453	0.6120145223
61	0.6870866658	0.6113946912
62	0.6879015845	0.610980484
63	0.6890300314	0.6105345461
64	0.6898527901	0.6097618309
65	0.6911424906	0.6091911167
66	0.6898527901	0.608767754
67	0.6916265765	0.6083256024
68	0.6925936748	0.6078553215
69	0.6942203925	0.6073211391
70	0.695335866	0.6067960863
71	0.6945653347	0.6063669244
72	0.6940684091	0.6057941561
73	0.6943996138	0.605165276
74	0.6950774996	0.6044904601
75	0.69409529	0.604198733
76	0.6962269046	0.6038001727
77	0.698344372	0.6033177313
78	0.6986601433	0.602866764
79	0.6976942525	0.6024345438
80	0.6981953163	0.6020334773
81	0.6971939074	0.6014252519
82	0.6965440168	0.6010405929
83	0.6967105853	0.6006824848
84	0.6976942525	0.6001935301
85	0.6967269268	0.5997060186
86	0.6972276679	0.5993369303
87	0.6975618953	0.5987598765
88	0.6980460069	0.5984089866
89	0.6991805465	0.5978824703
90	0.6977466246	0.5973394312
91	0.6991996061	0.5968031617
92	0.6988832482	0.5962449701
93	0.7015108723	0.5957901988
94	0.7009850751	0.5953583817
95	0.7015108723	0.5950424277
96	0.701153059	0.5945534887
97	0.7010271974	0.5942213893
98	0.7013640006	0.5937549177
99	0.7016792869	0.5933122823
100	0.7002067892	0.5929911976
101	0.7005637704	0.5924673907
102	0.700543162	0.5921031493
103	0.7007531105	0.5916072328
104	0.7007739994	0.5911758416
105	0.7012811177	0.5907311611
106	0.7014503203	0.5904557676
107	0.701936194	0.5900986678
108	0.7021055321	0.5896745621
109	0.703924751	0.5893901832
110	0.7037548964	0.5889586498
111	0.7019584184	0.5883146305
112	0.7024901026	0.5879727428
113	0.7026600706	0.5879013252
114	0.7038034179	0.5874588426
115	0.7038277589	0.587030327
